,Gender,Age,Annual Income (k$),Spending Score (1-100),Income cluster,Spending and Income Cluster
0,M,39.0,59.9,58.0,2,3
1,M,34.0,48.4,37.0,0,0
2,F,40.0,70.5,26.0,2,4
3,F,47.0,81.1,30.0,2,4
4,F,33.0,42.1,58.0,0,0
5,M,33.0,36.7,73.0,0,2
6,F,48.0,90.4,34.0,1,4
7,F,41.0,74.8,35.0,2,4
8,F,31.0,42.3,43.0,0,0
9,M,39.0,48.6,61.0,0,0
10,M,31.0,21.2,52.0,0,2
11,M,31.0,47.2,67.0,0,0
12,M,37.0,45.4,48.0,0,0
13,F,20.0,15.0,78.0,0,2
14,F,21.0,25.9,65.0,0,2
15,F,31.0,35.3,54.0,0,0
16,F,27.0,39.7,49.0,0,0
17,M,38.0,55.9,43.0,2,3
18,M,28.0,38.5,59.0,0,0
19,M,24.0,15.0,64.0,0,2
20,F,47.0,89.0,23.0,1,4
21,M,33.0,44.1,51.0,0,0
22,M,36.0,44.4,52.0,0,0
23,F,24.0,26.9,37.0,0,0
24,F,31.0,24.2,65.0,0,2
25,M,36.0,50.7,39.0,0,0
27,M,38.0,40.2,36.0,0,0
28,M,30.0,24.4,42.0,0,2
29,M,33.0,50.9,36.0,0,3
30,M,30.0,31.6,50.0,0,0
31,F,50.0,99.1,42.0,1,4
32,F,35.0,41.3,48.0,0,0
33,F,27.0,17.5,65.0,0,2
34,M,42.0,62.1,46.0,2,3
35,F,25.0,37.5,56.0,0,0
36,M,37.0,48.0,49.0,0,0
37,M,19.0,15.0,50.0,0,2
38,F,24.0,27.1,73.0,0,2
39,M,37.0,53.2,66.0,0,0
40,M,41.0,87.7,16.0,2,4
41,F,36.0,59.0,35.0,2,3
42,F,34.0,40.9,51.0,0,0
43,F,33.0,31.4,48.0,0,0
44,M,23.0,20.7,66.0,0,2
45,F,29.0,36.9,48.0,0,0
46,F,31.0,30.7,79.0,0,2
47,M,43.0,64.9,53.0,2,3
48,F,38.0,53.8,49.0,0,0
49,F,21.0,20.0,71.0,0,2
50,F,38.0,51.3,59.0,0,0
51,M,32.0,34.1,51.0,0,0
52,M,30.0,34.8,48.0,0,0
53,M,40.0,70.0,41.0,2,3
54,M,43.0,82.3,42.0,2,4
55,F,42.0,77.7,37.0,2,4
56,M,28.0,18.2,47.0,0,2
57,M,33.0,34.6,48.0,0,0
58,F,38.0,39.0,52.0,0,0
59,F,43.0,70.5,38.0,2,3
60,F,31.0,37.7,75.0,0,2
61,M,34.0,32.2,43.0,0,0
62,M,26.0,22.0,66.0,0,2
63,M,25.0,19.6,77.0,0,2
64,F,42.0,80.9,57.0,2,3
65,F,46.0,77.7,30.0,2,4
66,M,34.0,38.0,59.0,0,0
68,F,38.0,46.6,52.0,0,0
69,F,30.0,34.4,55.0,0,2
70,M,38.0,64.4,47.0,2,3
71,F,47.0,89.1,3.0,1,1
72,F,35.0,35.2,62.0,0,2
73,M,48.0,98.1,26.0,1,4
74,M,18.0,21.5,56.0,0,2
75,F,42.0,62.8,62.0,2,3
76,F,36.0,54.0,41.0,0,3
77,M,33.0,54.3,44.0,2,3
78,M,36.0,38.4,74.0,0,2
79,F,19.0,15.0,53.0,0,2
80,F,33.0,50.1,44.0,0,0
81,F,38.0,53.2,46.0,0,0
82,F,47.0,86.9,38.0,2,4
83,M,31.0,41.1,56.0,0,0
84,F,29.0,37.9,42.0,0,0
85,F,31.0,27.8,54.0,0,2
86,M,42.0,84.3,27.0,2,4
87,F,38.0,60.4,44.0,2,3
88,M,31.0,36.6,60.0,0,2
89,F,39.0,52.5,52.0,0,0
90,F,36.0,35.2,37.0,0,0
91,M,43.0,69.3,50.0,2,3
92,M,29.0,39.4,57.0,0,0
93,F,32.0,39.7,68.0,0,2
94,F,32.0,49.2,55.0,0,0
95,F,23.0,21.3,72.0,0,2
96,M,37.0,53.7,52.0,0,0
97,F,37.0,41.0,66.0,0,2
98,M,35.0,45.4,57.0,0,0
99,M,33.0,40.6,53.0,0,0
100,F,24.0,27.6,81.0,0,2
101,M,32.0,37.2,64.0,0,2
102,F,32.0,39.1,60.0,0,0
103,F,29.0,41.4,41.0,0,0
104,F,34.0,40.3,41.0,0,0
106,F,50.0,104.9,21.0,1,1
107,M,36.0,58.5,40.0,2,3
108,M,37.0,38.9,55.0,0,0
109,F,34.0,49.3,66.0,0,0
110,F,20.0,15.0,69.0,0,2
111,M,35.0,47.7,39.0,0,0
112,M,35.0,48.0,49.0,0,0
113,M,55.0,97.7,10.0,1,1
114,M,33.0,35.7,52.0,0,0
115,F,37.0,43.7,47.0,0,0
116,F,35.0,38.3,49.0,0,0
118,F,44.0,77.5,34.0,2,4
119,M,41.0,78.7,30.0,2,4
120,F,41.0,79.7,6.0,2,4
121,M,28.0,44.9,72.0,0,2
122,F,46.0,79.5,44.0,2,3
123,M,24.0,27.7,54.0,0,2
124,M,40.0,80.0,36.0,2,4
125,F,53.0,100.1,8.0,1,1
126,M,27.0,31.8,74.0,0,2
127,F,30.0,42.5,72.0,0,2
128,F,36.0,51.3,50.0,0,0
129,M,31.0,28.5,69.0,0,2
130,F,23.0,31.0,58.0,0,2
131,F,36.0,54.5,34.0,2,3
132,F,27.0,25.1,56.0,0,2
133,F,39.0,53.1,48.0,0,0
135,M,47.0,82.7,29.0,2,4
136,F,29.0,43.4,52.0,0,0
137,F,32.0,59.1,45.0,2,3
138,F,42.0,66.2,41.0,2,3
139,F,25.0,16.6,52.0,0,2
140,F,37.0,51.6,41.0,0,0
141,M,45.0,87.6,18.0,2,4
142,F,22.0,20.4,70.0,0,2
143,M,36.0,59.0,25.0,2,3
144,M,37.0,38.5,65.0,0,2
145,M,41.0,74.8,52.0,2,3
146,M,25.0,22.8,57.0,0,2
147,F,24.0,39.6,27.0,0,0
148,M,39.0,68.7,37.0,2,3
149,M,37.0,43.1,51.0,0,0
150,F,37.0,44.8,41.0,0,0
151,F,38.0,57.9,40.0,2,3
152,F,30.0,33.5,72.0,0,2
153,M,37.0,48.8,56.0,0,0
154,F,37.0,49.4,40.0,0,0
155,F,29.0,19.4,46.0,0,2
156,M,50.0,84.7,25.0,2,4
157,F,39.0,47.3,47.0,0,0
158,F,25.0,23.7,65.0,0,2
159,F,40.0,82.1,30.0,2,4
160,F,27.0,21.1,66.0,0,2
161,M,41.0,87.9,52.0,2,4
162,F,44.0,84.9,40.0,2,4
163,F,28.0,30.8,57.0,0,2
164,M,43.0,86.4,30.0,2,4
165,F,38.0,53.7,44.0,0,3
166,M,42.0,81.7,46.0,2,3
167,F,50.0,92.6,19.0,1,4
168,M,33.0,39.3,55.0,0,0
169,M,29.0,29.9,59.0,0,2
170,M,28.0,24.3,55.0,0,2
171,M,28.0,26.4,46.0,0,2
172,F,34.0,67.4,46.0,2,3
173,M,38.0,61.0,44.0,2,3
174,F,37.0,38.4,59.0,0,0
175,M,42.0,70.0,34.0,2,3
176,M,35.0,49.5,62.0,0,0
177,M,47.0,85.6,21.0,2,4
178,F,33.0,46.4,68.0,0,0
179,M,57.0,88.8,2.0,1,1
180,F,40.0,68.2,45.0,2,3
181,F,28.0,35.6,60.0,0,2
182,F,26.0,30.1,50.0,0,2
183,F,39.0,35.0,59.0,0,2
184,F,33.0,40.2,67.0,0,2
185,F,41.0,73.9,16.0,2,4
186,F,39.0,54.2,52.0,0,0
188,F,28.0,35.9,46.0,0,0
189,M,23.0,21.5,77.0,0,2
190,M,31.0,45.8,46.0,0,0
191,M,42.0,82.5,22.0,2,4
192,M,37.0,52.6,46.0,0,0
193,M,25.0,32.5,77.0,0,2
194,F,36.0,63.9,25.0,2,3
195,F,38.0,42.0,41.0,0,0
196,F,28.0,36.8,70.0,0,2
197,F,36.0,40.0,72.0,0,2
198,F,35.0,50.0,48.0,0,0
199,F,26.0,22.1,48.0,0,2
200,F,38.0,47.7,71.0,0,0
201,M,39.0,50.4,64.0,0,0
202,M,44.0,87.2,38.0,2,4
203,M,43.0,79.7,27.0,2,4
204,M,24.0,15.8,62.0,0,2
205,F,27.0,31.6,56.0,0,2
206,F,39.0,47.1,53.0,0,0
207,F,39.0,42.7,66.0,0,2
208,M,39.0,51.1,57.0,0,0
209,F,66.0,98.9,1.0,1,1
210,F,40.0,86.0,47.0,2,4
211,F,44.0,82.6,36.0,2,4
212,M,43.0,59.0,50.0,2,3
213,F,40.0,66.6,56.0,2,3
214,M,32.0,48.4,39.0,0,0
215,M,41.0,94.2,30.0,1,4
216,M,29.0,22.1,56.0,0,2
217,M,33.0,27.0,43.0,0,0
218,F,31.0,53.4,52.0,0,0
219,M,36.0,50.5,74.0,0,0
220,M,54.0,86.7,5.0,2,1
221,F,20.0,22.9,59.0,0,2
222,F,40.0,53.1,53.0,0,0
223,M,22.0,22.2,61.0,0,2
224,F,31.0,41.0,52.0,0,0
225,M,44.0,82.8,20.0,2,4
226,M,36.0,39.3,56.0,0,0
227,M,26.0,30.1,50.0,0,2
228,M,29.0,27.4,37.0,0,0
229,F,40.0,76.1,50.0,2,3
230,M,29.0,27.6,69.0,0,2
231,F,37.0,45.9,51.0,0,0
232,F,35.0,37.6,57.0,0,0
233,F,30.0,41.8,64.0,0,0
234,F,52.0,90.3,26.0,1,4
235,M,40.0,65.1,51.0,2,3
236,F,19.0,17.1,58.0,0,2
237,M,36.0,35.8,68.0,0,2
238,F,30.0,34.2,60.0,0,2
239,F,42.0,66.0,43.0,2,3
240,M,29.0,55.8,35.0,2,3
241,M,34.0,34.9,59.0,0,2
242,M,39.0,64.5,34.0,2,3
243,F,42.0,87.0,26.0,2,4
244,F,25.0,29.8,49.0,0,2
245,M,32.0,54.3,38.0,2,3
246,M,31.0,41.4,75.0,0,2
247,M,30.0,39.7,67.0,0,2
248,M,49.0,80.3,50.0,2,3
249,F,38.0,60.8,32.0,2,3
250,M,25.0,36.4,56.0,0,0
251,M,42.0,71.7,26.0,2,4
252,M,52.0,81.5,21.0,2,4
253,M,43.0,71.5,29.0,2,4
254,F,23.0,17.6,74.0,0,2
255,M,31.0,37.9,51.0,0,0
256,F,45.0,83.1,43.0,2,4
257,M,29.0,31.1,64.0,0,2
258,M,39.0,52.5,70.0,0,0
259,F,41.0,76.4,22.0,2,4
260,M,28.0,39.8,67.0,0,2
261,F,35.0,27.6,70.0,0,2
262,F,18.0,15.0,51.0,0,2
263,M,27.0,32.9,67.0,0,2
264,F,33.0,51.6,53.0,0,0
265,F,25.0,23.7,58.0,0,2
266,F,48.0,68.1,28.0,2,3
267,F,24.0,30.8,50.0,0,2
268,F,31.0,33.3,77.0,0,2
269,F,36.0,37.9,54.0,0,0
270,F,47.0,74.8,42.0,2,3
271,F,24.0,24.3,52.0,0,2
272,M,44.0,72.6,29.0,2,4
273,M,35.0,28.0,69.0,0,2
274,F,27.0,38.4,41.0,0,0
275,M,39.0,63.0,39.0,2,3
276,F,37.0,54.4,48.0,2,0
277,F,30.0,27.5,60.0,0,2
278,M,36.0,45.8,49.0,0,0
279,F,32.0,40.1,58.0,0,0
280,F,36.0,52.2,55.0,0,0
281,F,40.0,90.9,39.0,1,4
282,F,48.0,79.6,22.0,2,4
283,M,25.0,28.3,55.0,0,2
284,F,52.0,92.7,35.0,1,4
286,F,34.0,49.4,36.0,0,0
287,M,40.0,68.7,44.0,2,3
288,F,37.0,49.9,29.0,0,3
289,M,30.0,47.9,51.0,0,0
290,M,33.0,45.3,71.0,0,2
291,F,31.0,31.5,48.0,0,0
292,F,30.0,47.8,43.0,0,0
293,M,42.0,85.2,41.0,2,4
294,F,38.0,47.5,34.0,0,0
295,M,29.0,31.0,51.0,0,2
296,M,42.0,78.0,42.0,2,3
297,F,37.0,52.9,42.0,0,3
298,F,42.0,71.6,36.0,2,3
299,M,40.0,77.2,45.0,2,3
300,M,28.0,46.6,55.0,0,0
301,M,31.0,47.0,54.0,0,0
302,M,41.0,68.1,37.0,2,3
303,F,40.0,79.2,40.0,2,4
304,F,35.0,37.3,53.0,0,0
305,F,36.0,50.6,54.0,0,0
306,F,45.0,93.2,23.0,1,4
307,F,30.0,34.9,54.0,0,0
308,M,39.0,46.0,40.0,0,0
309,F,33.0,36.8,55.0,0,0
310,F,33.0,33.3,48.0,0,0
311,F,44.0,72.7,26.0,2,4
312,F,42.0,69.3,42.0,2,3
313,F,42.0,66.9,42.0,2,3
314,M,45.0,84.7,39.0,2,4
315,M,35.0,52.8,44.0,0,0
316,M,40.0,65.2,46.0,2,3
317,F,33.0,54.2,54.0,0,0
318,M,38.0,55.1,51.0,2,0
319,M,34.0,52.0,41.0,0,0
320,F,36.0,42.1,54.0,0,0
321,F,40.0,75.0,42.0,2,3
322,F,28.0,24.3,60.0,0,2
323,M,52.0,104.9,1.0,1,1
324,M,27.0,32.6,58.0,0,2
325,F,25.0,32.0,79.0,0,2
326,F,44.0,74.0,33.0,2,4
327,M,41.0,63.6,35.0,2,3
328,M,40.0,63.8,46.0,2,3
329,F,40.0,59.0,48.0,2,3
330,F,35.0,49.3,62.0,0,0
331,M,28.0,22.1,49.0,0,2
332,F,36.0,54.2,55.0,0,0
333,M,30.0,26.7,65.0,0,2
334,M,43.0,83.6,32.0,2,4
335,M,34.0,48.8,54.0,0,0
336,M,28.0,27.4,69.0,0,2
337,F,32.0,44.9,61.0,0,0
338,F,38.0,53.1,36.0,0,3
339,M,30.0,32.3,65.0,0,2
340,M,28.0,24.9,59.0,0,2
341,M,37.0,33.5,56.0,0,2
342,M,37.0,52.0,49.0,0,0
343,M,31.0,25.9,58.0,0,2
344,F,31.0,39.2,66.0,0,2
345,F,37.0,47.1,49.0,0,0
346,F,23.0,29.4,46.0,0,0
347,F,24.0,23.4,56.0,0,2
348,M,29.0,32.2,59.0,0,2
349,M,33.0,47.9,63.0,0,0
350,M,37.0,51.9,54.0,0,0
351,M,47.0,90.7,19.0,1,4
352,M,42.0,74.6,62.0,2,3
353,F,34.0,31.5,60.0,0,2
354,M,35.0,51.7,62.0,0,0
355,F,27.0,36.1,54.0,0,0
356,F,35.0,37.5,60.0,0,2
357,F,33.0,40.0,62.0,0,0
358,F,38.0,50.7,61.0,0,0
359,M,28.0,31.9,68.0,0,2
360,F,39.0,55.5,55.0,2,0
361,F,47.0,103.3,20.0,1,1
362,F,34.0,52.5,43.0,0,0
363,M,38.0,40.5,56.0,0,0
364,M,41.0,78.9,45.0,2,3
365,M,32.0,50.8,47.0,0,0
366,F,37.0,52.3,59.0,0,0
367,F,35.0,54.3,62.0,2,0
368,M,36.0,63.5,35.0,2,3
369,F,29.0,43.0,44.0,0,0
370,M,35.0,47.6,49.0,0,0
371,M,39.0,61.2,47.0,2,3
372,F,47.0,86.7,24.0,2,4
373,F,43.0,84.7,46.0,2,4
374,F,52.0,87.7,29.0,2,4
375,F,29.0,47.3,51.0,0,0
376,M,42.0,72.2,24.0,2,4
377,M,36.0,59.7,32.0,2,3
378,M,53.0,86.1,28.0,2,4
379,M,29.0,23.6,39.0,0,0
380,M,28.0,35.9,66.0,0,2
381,F,30.0,19.8,60.0,0,2
382,M,18.0,20.0,92.0,0,2
383,M,31.0,45.5,75.0,0,2
384,M,29.0,30.1,56.0,0,2
385,F,36.0,48.4,49.0,0,0
386,F,38.0,66.6,52.0,2,3
387,F,50.0,82.3,46.0,2,3
388,F,43.0,70.2,22.0,2,4
389,M,30.0,48.5,33.0,0,0
390,M,28.0,48.7,44.0,0,0
392,F,24.0,33.9,61.0,0,2
393,M,50.0,102.4,32.0,1,4
394,M,44.0,72.7,25.0,2,4
395,F,31.0,34.5,33.0,0,0
396,F,21.0,30.2,65.0,0,2
397,F,46.0,92.1,20.0,1,4
398,F,34.0,48.3,30.0,0,0
399,M,45.0,70.0,39.0,2,3
400,M,22.0,38.1,61.0,0,2
401,M,30.0,32.4,56.0,0,2
402,F,35.0,42.9,48.0,0,0
403,F,35.0,48.3,49.0,0,0
404,M,31.0,50.8,46.0,0,0
405,M,40.0,85.0,21.0,2,4
406,M,26.0,32.7,49.0,0,0
407,M,34.0,47.5,56.0,0,0
408,F,36.0,47.7,53.0,0,0
409,M,39.0,57.3,47.0,2,3
410,M,41.0,46.5,39.0,0,0
411,M,26.0,27.0,57.0,0,2
412,M,23.0,25.9,37.0,0,0
413,M,45.0,71.9,39.0,2,3
414,M,38.0,54.1,61.0,0,0
415,M,29.0,33.2,42.0,0,0
416,F,47.0,82.7,25.0,2,4
417,F,36.0,60.0,49.0,2,3
418,F,44.0,69.8,51.0,2,3
419,F,36.0,46.2,46.0,0,0
420,M,51.0,91.4,18.0,1,4
421,F,49.0,89.1,7.0,1,1
422,F,33.0,43.6,53.0,0,0
423,M,43.0,73.7,58.0,2,3
424,M,40.0,68.6,43.0,2,3
425,F,46.0,92.0,28.0,1,4
426,F,27.0,36.2,59.0,0,2
427,M,40.0,66.9,41.0,2,3
428,F,43.0,82.5,25.0,2,4
430,M,26.0,31.4,59.0,0,2
431,M,19.0,23.4,58.0,0,2
432,M,33.0,41.7,43.0,0,0
433,F,41.0,74.2,51.0,2,3
434,M,47.0,78.7,39.0,2,4
435,M,36.0,45.8,45.0,0,0
436,F,48.0,82.6,40.0,2,4
437,M,24.0,19.8,56.0,0,2
438,F,21.0,19.0,53.0,0,2
439,F,35.0,33.2,49.0,0,0
440,F,38.0,47.1,32.0,0,0
441,M,35.0,43.3,57.0,0,0
442,F,18.0,15.0,43.0,0,2
443,F,34.0,41.9,41.0,0,0
444,M,25.0,27.1,38.0,0,0
445,F,40.0,70.0,39.0,2,3
446,F,38.0,58.0,44.0,2,3
447,F,27.0,26.0,56.0,0,2
448,F,31.0,28.8,48.0,0,2
449,F,27.0,22.9,49.0,0,2
450,M,34.0,39.9,58.0,0,0
451,F,43.0,64.9,35.0,2,3
452,F,27.0,25.0,63.0,0,2
453,M,39.0,42.4,43.0,0,0
454,M,31.0,34.8,58.0,0,2
455,M,29.0,36.3,68.0,0,2
456,F,34.0,48.6,56.0,0,0
457,M,27.0,26.7,55.0,0,2
458,F,31.0,35.1,59.0,0,2
459,F,25.0,20.2,59.0,0,2
460,M,51.0,90.2,25.0,1,4
461,M,35.0,38.8,51.0,0,0
462,F,29.0,39.4,53.0,0,0
463,M,37.0,34.9,57.0,0,2
464,F,34.0,40.9,43.0,0,0
465,M,33.0,44.4,42.0,0,0
466,M,40.0,80.6,22.0,2,4
467,M,41.0,92.6,15.0,1,4
468,F,31.0,41.2,41.0,0,0
469,M,30.0,28.6,60.0,0,2
470,F,33.0,41.2,44.0,0,0
471,F,18.0,15.0,66.0,0,2
472,F,23.0,23.4,60.0,0,2
473,F,46.0,76.3,15.0,2,4
474,M,48.0,83.4,37.0,2,4
475,F,33.0,37.6,63.0,0,2
476,F,40.0,66.3,32.0,2,3
477,M,37.0,44.1,56.0,0,0
478,F,60.0,127.6,1.0,1,1
479,M,44.0,78.7,36.0,2,4
480,F,34.0,58.5,34.0,2,3
481,M,27.0,37.7,37.0,0,0
482,F,22.0,26.1,54.0,0,2
483,M,37.0,52.1,47.0,0,0
484,F,29.0,38.0,51.0,0,0
485,F,24.0,15.0,51.0,0,2
486,M,30.0,34.4,52.0,0,0
487,M,26.0,36.2,58.0,0,2
488,M,48.0,82.5,30.0,2,4
489,M,42.0,58.7,45.0,2,3
490,F,35.0,45.2,45.0,0,0
491,F,47.0,98.0,37.0,1,4
492,M,36.0,57.4,35.0,2,3
493,F,28.0,32.5,62.0,0,2
494,M,47.0,89.3,40.0,1,4
495,M,39.0,49.9,53.0,0,0
496,F,27.0,17.6,61.0,0,2
497,F,33.0,34.6,51.0,0,0
498,F,28.0,45.5,62.0,0,0
499,F,24.0,23.6,46.0,0,2
500,F,42.0,68.2,30.0,2,3
501,F,50.0,87.0,23.0,2,4
502,F,24.0,41.0,65.0,0,2
503,M,40.0,83.2,39.0,2,4
504,M,30.0,54.4,39.0,2,3
505,M,31.0,37.1,52.0,0,0
506,M,30.0,39.0,48.0,0,0
507,M,28.0,20.9,54.0,0,2
508,F,35.0,57.4,56.0,2,0
509,M,28.0,23.7,47.0,0,2
510,M,37.0,50.9,65.0,0,0
511,M,35.0,36.8,63.0,0,2
512,M,33.0,37.3,66.0,0,2
513,M,28.0,26.3,55.0,0,2
514,M,30.0,31.7,56.0,0,2
515,M,41.0,69.2,26.0,2,4
516,F,39.0,48.4,44.0,0,0
517,F,27.0,37.9,60.0,0,2
518,M,36.0,38.6,67.0,0,2
519,F,41.0,77.8,25.0,2,4
520,F,22.0,31.9,52.0,0,2
521,F,39.0,48.7,47.0,0,0
522,F,30.0,30.9,44.0,0,0
523,M,40.0,66.5,47.0,2,3
524,F,29.0,44.2,45.0,0,0
525,F,21.0,22.0,58.0,0,2
526,F,22.0,18.0,57.0,0,2
527,M,35.0,49.5,42.0,0,0
528,M,37.0,40.4,53.0,0,0
529,M,28.0,38.5,52.0,0,0
530,M,40.0,79.4,33.0,2,4
531,M,22.0,19.7,54.0,0,2
532,M,34.0,37.1,58.0,0,0
533,M,25.0,20.5,78.0,0,2
534,F,30.0,40.9,55.0,0,0
535,F,35.0,55.4,57.0,2,0
536,F,28.0,27.9,45.0,0,0
537,M,32.0,43.9,54.0,0,0
538,M,43.0,56.8,33.0,2,3
539,M,30.0,31.9,42.0,0,0
540,M,42.0,79.5,28.0,2,4
541,M,26.0,22.1,73.0,0,2
543,F,47.0,75.8,36.0,2,4
544,M,18.0,17.3,45.0,0,2
545,M,29.0,33.3,55.0,0,2
546,M,40.0,56.5,48.0,2,3
547,M,33.0,25.0,62.0,0,2
548,F,38.0,46.1,32.0,0,0
549,M,30.0,40.3,45.0,0,0
550,M,36.0,25.4,58.0,0,2
551,M,34.0,39.8,59.0,0,0
552,M,44.0,68.5,17.0,2,4
553,F,37.0,60.3,43.0,2,3
554,M,38.0,47.9,51.0,0,0
555,M,32.0,43.3,61.0,0,0
556,F,31.0,39.5,61.0,0,0
557,F,32.0,23.2,66.0,0,2
558,F,38.0,57.1,38.0,2,3
559,M,32.0,41.9,34.0,0,0
560,M,37.0,53.3,44.0,0,0
561,F,52.0,120.8,22.0,1,1
562,F,42.0,55.2,59.0,2,0
563,F,32.0,54.0,55.0,0,0
564,F,45.0,79.1,38.0,2,4
565,F,32.0,42.5,57.0,0,0
566,F,19.0,16.4,55.0,0,2
567,M,27.0,27.8,57.0,0,2
568,M,20.0,15.0,79.0,0,2
569,M,32.0,42.8,43.0,0,0
570,F,35.0,33.5,72.0,0,2
571,F,48.0,92.2,23.0,1,4
572,F,38.0,47.7,63.0,0,0
573,F,33.0,33.0,43.0,0,0
574,F,42.0,63.6,48.0,2,3
575,F,18.0,25.1,50.0,0,2
576,M,37.0,44.9,37.0,0,0
577,M,41.0,85.4,36.0,2,4
578,F,23.0,18.2,72.0,0,2
579,M,44.0,85.4,23.0,2,4
580,F,38.0,56.5,31.0,2,3
